# Model: Local min.
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
2.195e+11,-2.746e-16
2.230e+11,-2.864e-16
2.266e+11,-2.955e-16
2.303e+11,-3.021e-16
2.341e+11,-3.063e-16
2.379e+11,-3.082e-16
2.418e+11,-3.081e-16
2.457e+11,-3.061e-16
2.497e+11,-3.024e-16
2.537e+11,-2.971e-16
2.579e+11,-2.904e-16
2.621e+11,-2.824e-16
2.663e+11,-2.734e-16
2.707e+11,-2.635e-16
2.751e+11,-2.528e-16
2.795e+11,-2.415e-16
2.841e+11,-2.298e-16
2.887e+11,-2.178e-16
2.934e+11,-2.057e-16
2.982e+11,-1.936e-16
3.030e+11,-1.818e-16
3.080e+11,-1.703e-16
3.130e+11,-1.592e-16
3.181e+11,-1.484e-16
3.232e+11,-1.379e-16
3.285e+11,-1.278e-16
3.338e+11,-1.180e-16
3.393e+11,-1.086e-16
3.448e+11,-9.958e-17
3.504e+11,-9.089e-17
3.561e+11,-8.255e-17
3.619e+11,-7.459e-17
3.678e+11,-6.698e-17
3.737e+11,-5.975e-17
3.798e+11,-5.289e-17
3.860e+11,-4.640e-17
3.923e+11,-4.028e-17
3.987e+11,-3.455e-17
4.051e+11,-2.920e-17
4.117e+11,-2.423e-17
4.184e+11,-1.965e-17
